panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	MP_tpm	HP_tpm	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	Bs_As log2ratio
variable (1155)	Zm00001d014360	14.4	21.0	21.9	20.8	26.9	17.9	20.9	21.0	0.095	0.064	0.111	0.125	0.197	0.157	variable	-0.01410846882
variable (1155)	Zm00001d014367	10.4	11.2	15.0	11.2	18.6	10.8	11.2	11.2	0.057	0.085	0.113	0.162	0.168	0.133	variable	0.002307015148
variable (1155)	Zm00001d014377	3.7	9.6	5.1	16.4	0.6	1.5	13.0	16.4	0.095	0.091	0.115	0.208	0.223	0.250	variable	0.7819844791
variable (1155)	Zm00001d014526	19.5	8.4	20.7	11.4	19.2	6.5	9.9	11.4	0.067	0.073	0.143	0.134	0.171	0.134	variable	0.4263032558
variable (1155)	Zm00001d014673	92.6	89.6	107.8	96.6	89.2	67.3	93.1	96.6	0.029	0.085	0.104	0.100	0.128	0.115	variable	0.1079536245
variable (1155)	Zm00001d014734	233.1	157.4	191.4	198.3	60.4	73.5	177.8	198.3	0.038	0.088	0.102	0.252	0.339	0.277	variable	0.3334678415
variable (1155)	Zm00001d014804	65.4	14.5	107.8	23.4	11.4	1.2	18.9	23.4	0.072	0.074	0.212	0.414	0.478	0.458	variable	0.6841539699
variable (1155)	Zm00001d014808	142.7	87.1	178.1	87.0	198.7	50.2	87.1	87.1	0.079	0.099	0.173	0.330	0.199	0.275	variable	-0.001647325189
variable (1155)	Zm00001d014809	8.2	6.5	9.8	9.3	8.4	2.4	7.9	9.3	0.093	0.099	0.175	0.371	0.339	0.289	variable	0.5065111388
variable (1155)	Zm00001d015120	5.7	7.8	4.7	5.4	1.8	6.7	6.6	7.8	0.080	0.073	0.154	0.112	0.128	0.106	variable	-0.5193603496
variable (1155)	Zm00001d015151	16.2	20.8	12.4	13.8	2.4	15.8	17.3	20.8	0.081	0.079	0.392	0.092	0.396	0.088	variable	-0.5920536795
variable (1155)	Zm00001d015251	14.5	10.7	20.0	11.8	17.4	5.5	11.2	11.8	0.092	0.078	0.158	0.106	0.187	0.145	variable	0.1417453062
variable (1155)	Zm00001d015274	14.2	17.1	16.8	14.8	10.8	9.6	16.0	17.1	0.026	0.043	0.122	0.091	0.098	0.088	variable	-0.2048640522
variable (1155)	Zm00001d015292	263.8	38.5	316.6	50.0	80.2	7.1	44.2	50.0	0.079	0.066	0.159	0.074	0.191	0.087	variable	0.379332568
variable (1155)	Zm00001d015325	21.6	15.4	26.6	18.9	42.5	12.0	17.2	18.9	0.099	0.070	0.304	0.183	0.207	0.146	variable	0.3023020633
variable (1155)	Zm00001d015344	10.5	9.5	11.6	9.8	2.4	7.6	9.7	9.8	0.069	0.072	0.235	0.186	0.103	0.139	variable	0.03808998264
variable (1155)	Zm00001d015473	19.7	18.5	28.3	29.8	28.7	10.1	24.2	29.8	0.086	0.073	0.175	0.171	0.184	0.167	variable	0.6848159577
variable (1155)	Zm00001d015505	11.5	37.4	14.1	20.1	20.3	30.8	28.8	37.4	0.060	0.091	0.170	0.081	0.236	0.071	variable	-0.8946830851
variable (1155)	Zm00001d015566	24.7	17.6	14.3	17.6	3.6	15.6	17.6	17.6	0.046	0.068	0.156	0.138	0.096	0.088	variable	0.002603641099
variable (1155)	Zm00001d015571	76.9	55.8	69.2	33.7	113.1	23.6	44.8	55.8	0.046	0.086	0.110	0.106	0.095	0.085	variable	-0.7273155969
variable (1155)	Zm00001d015651	20.2	68.2	18.3	72.4	4.8	143.2	70.3	72.4	0.051	0.088	0.427	0.306	0.121	0.166	variable	0.08434263013
variable (1155)	Zm00001d015714	23.4	25.3	31.5	44.6	38.9	27.1	35.0	44.6	0.081	0.080	0.136	0.109	0.099	0.092	variable	0.8159177215
variable (1155)	Zm00001d015799	13.3	16.9	6.4	27.6	0.0	20.3	22.2	27.6	0.085	0.037	0.101	0.052	0.049	0.037	variable	0.7106837474
variable (1155)	Zm00001d015968	60.0	38.0	48.7	33.9	36.5	21.3	36.0	38.0	0.050	0.093	0.111	0.087	0.060	0.058	variable	-0.1650936687
variable (1155)	Zm00001d016000	12.2	15.8	18.2	12.3	28.1	9.6	14.1	15.8	0.091	0.082	0.139	0.224	0.356	0.269	variable	-0.3665877713
variable (1155)	Zm00001d016248	158.5	77.0	81.6	58.6	55.1	84.4	67.8	77.0	0.095	0.089	0.103	0.051	0.115	0.037	variable	-0.3935852051
variable (1155)	Zm00001d016277	29.8	8.8	31.9	14.5	44.9	4.2	11.7	14.5	0.097	0.057	0.198	0.149	0.282	0.211	variable	0.7165535979
variable (1155)	Zm00001d016363	38.7	15.3	44.4	33.2	4.8	22.7	24.3	33.2	0.089	0.025	0.117	0.092	0.124	0.137	variable	1.118696024
variable (1155)	Zm00001d016441	104.5	16.7	53.8	59.2	18.0	6.5	37.9	59.2	0.084	0.055	0.105	0.073	0.140	0.094	variable	1.825661943
